epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
61,7325.8,0.99159,1.08304,0.01231,0.82518,0.75798,0.84007,0.64844,0.9252,0.80506,0.0153,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7443.98,0.98658,1.06818,0.01216,0.81782,0.76246,0.83963,0.64829,0.92447,0.80542,0.01528,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7562.36,0.98805,1.0617,0.01218,0.81349,0.7662,0.8399,0.64898,0.92387,0.80582,0.01526,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7680.74,0.9782,1.05355,0.01201,0.82587,0.75879,0.84064,0.64975,0.92342,0.80558,0.01526,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7799.18,0.97981,1.05811,0.01204,0.82543,0.75693,0.84044,0.64964,0.92284,0.80665,0.01524,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7917.53,0.97756,1.03567,0.012,0.82831,0.75796,0.84104,0.64992,0.92194,0.80436,0.01522,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8036.13,0.97485,1.0376,0.01199,0.81245,0.76935,0.84169,0.65075,0.92267,0.80029,0.01522,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8154.5,0.96968,1.02911,0.01189,0.81265,0.77231,0.84219,0.65172,0.92147,0.79786,0.0152,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8273.05,0.96653,1.01737,0.01194,0.81575,0.77161,0.84254,0.65196,0.92136,0.79736,0.0152,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8391.32,0.96792,1.02226,0.01175,0.81893,0.77086,0.84258,0.6524,0.92017,0.79776,0.01517,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
